id,crop_id,plate_id,spacing_id,population_id,speed_value,result
AAB192,9b9962df,35ae0e2e,9af624b1,AB006,"6,5 km/h",Si
AAB193,9b9962df,35ae0e2e,9af624b1,AB006,7 km/h,Si
AAB194,9b9962df,35ae0e2e,9af624b1,AB006,"7,5 km/h",Si
AAB195,9b9962df,35ae0e2e,9af624b1,AB006,8 km/h,Si
AAB196,9b9962df,35ae0e2e,9af624b1,AB006,"8,5 km/h",Si
AAB197,9b9962df,35ae0e2e,9af624b1,AB006,9 km/h,Si
AAB198,9b9962df,35ae0e2e,9af624b1,AB006,"9,5 km/h",Si
AAB199,9b9962df,35ae0e2e,9af624b1,AB006,10 km/h,Si
AAB200,9b9962df,35ae0e2e,9af624b1,AB006,"10,5 km/h",Si
AAB201,9b9962df,35ae0e2e,9af624b1,AB006,11 km/h,Si
AAB202,9b9962df,35ae0e2e,9af624b1,AB006,"11,5 km/h",Si
AAB203,9b9962df,35ae0e2e,9af624b1,AB006,12 km/h,Si
AAB204,9b9962df,35ae0e2e,9af624b1,AB006,"12,5 km/h",Si
AAB205,9b9962df,35ae0e2e,9af624b1,AB006,13 km/h,Si
AAB206,9b9962df,35ae0e2e,9af624b1,AB006,"13,5 km/h",Si
AAB207,9b9962df,35ae0e2e,9af624b1,AB006,14 km/h,Si
AAB208,9b9962df,35ae0e2e,9af624b1,AB006,"14,5 km/h",Si
AAB209,9b9962df,35ae0e2e,9af624b1,AB006,15 km/h,Si
AAB210,9b9962df,35ae0e2e,9af624b1,AB007,"0,5  km/h",No (Suba la velocidad)
AAB211,9b9962df,35ae0e2e,9af624b1,AB007,1 km/h,No (Suba la velocidad)
AAB212,9b9962df,35ae0e2e,9af624b1,AB007,"1,5 km/h",No (Suba la velocidad)
AAB213,9b9962df,35ae0e2e,9af624b1,AB007,2 km/h,No (Suba la velocidad)
AAB214,9b9962df,35ae0e2e,9af624b1,AB007,"2,5 km/h",No (Suba la velocidad)
AAB215,9b9962df,35ae0e2e,9af624b1,AB007,3 km/h,No (Suba la velocidad)
AAB216,9b9962df,35ae0e2e,9af624b1,AB007,"3,5 km/h",Si (Velocidad Minima)
AAB217,9b9962df,35ae0e2e,9af624b1,AB007,4 km/h,Si
AAB218,9b9962df,35ae0e2e,9af624b1,AB007,"4,5 km/h",Si
AAB219,9b9962df,35ae0e2e,9af624b1,AB007,5 km/h,Si
AAB220,9b9962df,35ae0e2e,9af624b1,AB007,"5,5 km/h",Si
AAB221,9b9962df,35ae0e2e,9af624b1,AB007,6 km/h,Si
AAB222,9b9962df,35ae0e2e,9af624b1,AB007,"6,5 km/h",Si
AAB223,9b9962df,35ae0e2e,9af624b1,AB007,7 km/h,Si
AAB224,9b9962df,35ae0e2e,9af624b1,AB007,"7,5 km/h",Si
AAB225,9b9962df,35ae0e2e,9af624b1,AB007,8 km/h,Si
AAB226,9b9962df,35ae0e2e,9af624b1,AB007,"8,5 km/h",Si
AAB227,9b9962df,35ae0e2e,9af624b1,AB007,9 km/h,Si
AAB228,9b9962df,35ae0e2e,9af624b1,AB007,"9,5 km/h",Si
AAB229,9b9962df,35ae0e2e,9af624b1,AB007,10 km/h,Si
AAB230,9b9962df,35ae0e2e,9af624b1,AB007,"10,5 km/h",Si
AAB231,9b9962df,35ae0e2e,9af624b1,AB007,11 km/h,Si
AAB232,9b9962df,35ae0e2e,9af624b1,AB007,"11,5 km/h",Si
AAB233,9b9962df,35ae0e2e,9af624b1,AB007,12 km/h,Si
AAB234,9b9962df,35ae0e2e,9af624b1,AB007,"12,5 km/h",Si
AAB235,9b9962df,35ae0e2e,9af624b1,AB007,13 km/h,Si
AAB236,9b9962df,35ae0e2e,9af624b1,AB007,"13,5 km/h",Si
AAB237,9b9962df,35ae0e2e,9af624b1,AB007,14 km/h,Si
AAB238,9b9962df,35ae0e2e,9af624b1,AB007,"14,5 km/h",Si
AAB239,9b9962df,35ae0e2e,9af624b1,AB007,15 km/h,Si
AAB240,9b9962df,35ae0e2e,9af624b1,AB008,"0,5  km/h",No (Suba la velocidad)
AAB241,9b9962df,35ae0e2e,9af624b1,AB008,1 km/h,No (Suba la velocidad)
AAB242,9b9962df,35ae0e2e,9af624b1,AB008,"1,5 km/h",No (Suba la velocidad)
AAB243,9b9962df,35ae0e2e,9af624b1,AB008,2 km/h,No (Suba la velocidad)
AAB244,9b9962df,35ae0e2e,9af624b1,AB008,"2,5 km/h",No (Suba la velocidad)
AAB245,9b9962df,35ae0e2e,9af624b1,AB008,3 km/h,Si (Velocidad Minima)
AAB246,9b9962df,35ae0e2e,9af624b1,AB008,"3,5 km/h",Si
AAB247,9b9962df,35ae0e2e,9af624b1,AB008,4 km/h,Si
AAB248,9b9962df,35ae0e2e,9af624b1,AB008,"4,5 km/h",Si
AAB249,9b9962df,35ae0e2e,9af624b1,AB008,5 km/h,Si
AAB250,9b9962df,35ae0e2e,9af624b1,AB008,"5,5 km/h",Si
AAB251,9b9962df,35ae0e2e,9af624b1,AB008,6 km/h,Si
AAB252,9b9962df,35ae0e2e,9af624b1,AB008,"6,5 km/h",Si
AAB253,9b9962df,35ae0e2e,9af624b1,AB008,7 km/h,Si
AAB254,9b9962df,35ae0e2e,9af624b1,AB008,"7,5 km/h",Si
AAB255,9b9962df,35ae0e2e,9af624b1,AB008,8 km/h,Si
AAB256,9b9962df,35ae0e2e,9af624b1,AB008,"8,5 km/h",Si
AAB257,9b9962df,35ae0e2e,9af624b1,AB008,9 km/h,Si
AAB258,9b9962df,35ae0e2e,9af624b1,AB008,"9,5 km/h",Si
AAB259,9b9962df,35ae0e2e,9af624b1,AB008,10 km/h,Si
AAB260,9b9962df,35ae0e2e,9af624b1,AB008,"10,5 km/h",Si
AAB261,9b9962df,35ae0e2e,9af624b1,AB008,11 km/h,Si
AAB262,9b9962df,35ae0e2e,9af624b1,AB008,"11,5 km/h",Si
AAB263,9b9962df,35ae0e2e,9af624b1,AB008,12 km/h,Si
AAB264,9b9962df,35ae0e2e,9af624b1,AB008,"12,5 km/h",Si
AAB265,9b9962df,35ae0e2e,9af624b1,AB008,13 km/h,Si
AAB266,9b9962df,35ae0e2e,9af624b1,AB008,"13,5 km/h",Si
AAB267,9b9962df,35ae0e2e,9af624b1,AB008,14 km/h,Si
AAB268,9b9962df,35ae0e2e,9af624b1,AB008,"14,5 km/h",Si
AAB269,9b9962df,35ae0e2e,9af624b1,AB008,15 km/h,Si
AAB270,9b9962df,35ae0e2e,9af624b1,AB009,"0,5  km/h",No (Suba la velocidad)
AAB271,9b9962df,35ae0e2e,9af624b1,AB009,1 km/h,No (Suba la velocidad)
AAB272,9b9962df,35ae0e2e,9af624b1,AB009,"1,5 km/h",No (Suba la velocidad)
AAB273,9b9962df,35ae0e2e,9af624b1,AB009,2 km/h,No (Suba la velocidad)
AAB274,9b9962df,35ae0e2e,9af624b1,AB009,"2,5 km/h",Si (Velocidad Minima)
AAB275,9b9962df,35ae0e2e,9af624b1,AB009,3 km/h,Si
AAB276,9b9962df,35ae0e2e,9af624b1,AB009,"3,5 km/h",Si
AAB277,9b9962df,35ae0e2e,9af624b1,AB009,4 km/h,Si
AAB278,9b9962df,35ae0e2e,9af624b1,AB009,"4,5 km/h",Si
AAB279,9b9962df,35ae0e2e,9af624b1,AB009,5 km/h,Si
AAB280,9b9962df,35ae0e2e,9af624b1,AB009,"5,5 km/h",Si
AAB281,9b9962df,35ae0e2e,9af624b1,AB009,6 km/h,Si
AAB282,9b9962df,35ae0e2e,9af624b1,AB009,"6,5 km/h",Si
AAB283,9b9962df,35ae0e2e,9af624b1,AB009,7 km/h,Si
AAB284,9b9962df,35ae0e2e,9af624b1,AB009,"7,5 km/h",Si
AAB285,9b9962df,35ae0e2e,9af624b1,AB009,8 km/h,Si
AAB286,9b9962df,35ae0e2e,9af624b1,AB009,"8,5 km/h",Si
AAB287,9b9962df,35ae0e2e,9af624b1,AB009,9 km/h,Si
AAB288,9b9962df,35ae0e2e,9af624b1,AB009,"9,5 km/h",Si
AAB289,9b9962df,35ae0e2e,9af624b1,AB009,10 km/h,Si
AAB290,9b9962df,35ae0e2e,9af624b1,AB009,"10,5 km/h",Si
AAB291,9b9962df,35ae0e2e,9af624b1,AB009,11 km/h,Si
AAB292,9b9962df,35ae0e2e,9af624b1,AB009,"11,5 km/h",Si
AAB293,9b9962df,35ae0e2e,9af624b1,AB009,12 km/h,Si
AAB294,9b9962df,35ae0e2e,9af624b1,AB009,"12,5 km/h",Si
AAB295,9b9962df,35ae0e2e,9af624b1,AB009,13 km/h,Si
AAB296,9b9962df,35ae0e2e,9af624b1,AB009,"13,5 km/h",Si
AAB297,9b9962df,35ae0e2e,9af624b1,AB009,14 km/h,Si
AAB298,9b9962df,35ae0e2e,9af624b1,AB009,"14,5 km/h",Si
AAB299,9b9962df,35ae0e2e,9af624b1,AB009,15 km/h,Si
AAB300,9b9962df,35ae0e2e,9af624b1,AB010,"0,5  km/h",No (Suba la velocidad)
AAB301,9b9962df,35ae0e2e,9af624b1,AB010,1 km/h,No (Suba la velocidad)
AAB302,9b9962df,35ae0e2e,9af624b1,AB010,"1,5 km/h",No (Suba la velocidad)
AAB303,9b9962df,35ae0e2e,9af624b1,AB010,2 km/h,No (Suba la velocidad)
AAB304,9b9962df,35ae0e2e,9af624b1,AB010,"2,5 km/h",Si (Velocidad Minima)
AAB305,9b9962df,35ae0e2e,9af624b1,AB010,3 km/h,Si
AAB306,9b9962df,35ae0e2e,9af624b1,AB010,"3,5 km/h",Si
AAB307,9b9962df,35ae0e2e,9af624b1,AB010,4 km/h,Si
AAB308,9b9962df,35ae0e2e,9af624b1,AB010,"4,5 km/h",Si
AAB309,9b9962df,35ae0e2e,9af624b1,AB010,5 km/h,Si
AAB310,9b9962df,35ae0e2e,9af624b1,AB010,"5,5 km/h",Si
AAB311,9b9962df,35ae0e2e,9af624b1,AB010,6 km/h,Si
AAB312,9b9962df,35ae0e2e,9af624b1,AB010,"6,5 km/h",Si
AAB313,9b9962df,35ae0e2e,9af624b1,AB010,7 km/h,Si
AAB314,9b9962df,35ae0e2e,9af624b1,AB010,"7,5 km/h",Si
AAB315,9b9962df,35ae0e2e,9af624b1,AB010,8 km/h,Si
AAB316,9b9962df,35ae0e2e,9af624b1,AB010,"8,5 km/h",Si
AAB317,9b9962df,35ae0e2e,9af624b1,AB010,9 km/h,Si
AAB318,9b9962df,35ae0e2e,9af624b1,AB010,"9,5 km/h",Si
